Complication,Recommended_Medication,Dosage,Duration
Infection,Antibiotics,533 mg/day,5 days
Organ Failure,IV Fluids + Vasopressors,2.7 L/day,5 days
Infection,Antibiotics,500 mg/day,5 days
None,Pain Management,300 mg/day,1 days
Bleeding,Blood Transfusion + Hemostatic Agent,1 units,2 days
Bleeding,Blood Transfusion + Hemostatic Agent,3 units,1 days
Bleeding,Blood Transfusion + Hemostatic Agent,2 units,3 days
None,Pain Management,100 mg/day,1 days
Organ Failure,IV Fluids + Vasopressors,2.0 L/day,3 days
Organ Failure,IV Fluids + Vasopressors,1.3 L/day,5 days
Infection,Antibiotics,500 mg/day,7 days
None,Pain Management,300 mg/day,3 days
Infection,Antibiotics,572 mg/day,7 days
Organ Failure,IV Fluids + Vasopressors,1.6 L/day,3 days
Infection,Antibiotics,604 mg/day,7 days
None,Pain Management,300 mg/day,2 days
Organ Failure,IV Fluids + Vasopressors,1.8 L/day,7 days
None,No Medication,0,0 days
Organ Failure,IV Fluids + Vasopressors,1.9 L/day,5 days
Bleeding,Blood Transfusion + Hemostatic Agent,3 units,2 days
Organ Failure,IV Fluids + Vasopressors,1.7 L/day,7 days
Infection,Antibiotics,620 mg/day,7 days
Organ Failure,IV Fluids + Vasopressors,2.3 L/day,5 days
None,Pain Management,200 mg/day,2 days
Organ Failure,IV Fluids + Vasopressors,2.1 L/day,5 days
Organ Failure,IV Fluids + Vasopressors,2.0 L/day,7 days
Infection,Antibiotics,629 mg/day,7 days
Organ Failure,IV Fluids + Vasopressors,1.7 L/day,5 days
Infection,Antibiotics,623 mg/day,7 days
None,Pain Management,200 mg/day,1 days
Organ Failure,IV Fluids + Vasopressors,2.0 L/day,5 days
Infection,Antibiotics,507 mg/day,7 days
Infection,Antibiotics,579 mg/day,7 days
Organ Failure,IV Fluids + Vasopressors,1.8 L/day,5 days
Infection,Antibiotics,573 mg/day,7 days
Bleeding,Blood Transfusion + Hemostatic Agent,3 units,3 days
Infection,Antibiotics,532 mg/day,7 days
Organ Failure,IV Fluids + Vasopressors,2.2 L/day,7 days
Organ Failure,IV Fluids + Vasopressors,1.4 L/day,5 days
Infection,Antibiotics,574 mg/day,7 days
Organ Failure,IV Fluids + Vasopressors,2.4 L/day,3 days
None,Pain Management,100 mg/day,3 days
Organ Failure,IV Fluids + Vasopressors,1.5 L/day,3 days
